Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
31-May-67	19670531	-67.60269444	62.87380556	Mawson	710
8-Jun-67	19670608	-67.60269444	62.87380556	Mawson	750
15-Jun-67	19670615	-67.60269444	62.87380556	Mawson	880
30-Jun-67	19670630	-67.60269444	62.87380556	Mawson	940
5-Jul-67	19670705	-67.60269444	62.87380556	Mawson	970
12-Jul-67	19670712	-67.60269444	62.87380556	Mawson	1020
19-Jul-67	19670719	-67.60269444	62.87380556	Mawson	1050
28-Jul-67	19670728	-67.60269444	62.87380556	Mawson	1080
31-Jul-67	19670731	-67.60269444	62.87380556	Mawson	1110
3-Aug-67	19670803	-67.60269444	62.87380556	Mawson	1140
10-Aug-67	19670810	-67.60269444	62.87380556	Mawson	1200
16-Aug-67	19670816	-67.60269444	62.87380556	Mawson	1240
25-Aug-67	19670825	-67.60269444	62.87380556	Mawson	1280
31-Aug-67	19670831	-67.60269444	62.87380556	Mawson	1330
6-Sep-67	19670906	-67.60269444	62.87380556	Mawson	1330
13-Sep-67	19670913	-67.60269444	62.87380556	Mawson	1350
21-Sep-67	19670921	-67.60269444	62.87380556	Mawson	1360
4-Oct-67	19671004	-67.60269444	62.87380556	Mawson	1380
11-Oct-67	19671011	-67.60269444	62.87380556	Mawson	1380
18-Oct-67	19671018	-67.60269444	62.87380556	Mawson	1360
25-Oct-67	19671025	-67.60269444	62.87380556	Mawson	1360
1-Nov-67	19671101	-67.60269444	62.87380556	Mawson	1350
9-Nov-67	19671109	-67.60269444	62.87380556	Mawson	1340
15-Nov-67	19671115	-67.60269444	62.87380556	Mawson	1320
22-Nov-67	19671122	-67.60269444	62.87380556	Mawson	1280
30-Nov-67	19671130	-67.60269444	62.87380556	Mawson	1250
7-Dec-67	19671207	-67.60269444	62.87380556	Mawson	1210
13-Dec-67	19671213	-67.60269444	62.87380556	Mawson	1150
19-Dec-67	19671219	-67.60269444	62.87380556	Mawson	1060
7-Jan-68	19680107	-67.60269444	62.87380556	Mawson	1
25-Mar-69	19690325	-67.60269444	62.87380556	Mawson	1
